date	controller	action	hits
2008-01-01	controller 1	action 1	100
2008-02-01	controller 1	action 1	95
2008-03-01	controller 1	action 1	118
2008-04-01	controller 1	action 1	104
2008-05-01	controller 1	action 1	126
2008-06-01	controller 1	action 1	143
2008-07-01	controller 1	action 1	141
2008-08-01	controller 1	action 1	165
2008-09-01	controller 1	action 1	159
2008-10-01	controller 1	action 1	156
2008-11-01	controller 1	action 1	200
2008-12-01	controller 1	action 1	243
2009-01-01	controller 1	action 1	228
2009-02-01	controller 1	action 1	299
2009-03-01	controller 1	action 1	336
2009-04-01	controller 1	action 1	287
2009-05-01	controller 1	action 1	382
2009-06-01	controller 1	action 1	527
2009-07-01	controller 1	action 1	483
2009-08-01	controller 1	action 1	561
2009-09-01	controller 1	action 1	676
2009-10-01	controller 1	action 1	575
2009-11-01	controller 1	action 1	603
2009-12-01	controller 1	action 1	872
2008-01-01	controller 1	action 2	100
2008-02-01	controller 1	action 2	128
2008-03-01	controller 1	action 2	122
2008-04-01	controller 1	action 2	121
2008-05-01	controller 1	action 2	120
2008-06-01	controller 1	action 2	123
2008-07-01	controller 1	action 2	133
2008-08-01	controller 1	action 2	126
2008-09-01	controller 1	action 2	136
2008-10-01	controller 1	action 2	170
2008-11-01	controller 1	action 2	181
2008-12-01	controller 1	action 2	249
2009-01-01	controller 1	action 2	316
2009-02-01	controller 1	action 2	407
2009-03-01	controller 1	action 2	412
2009-04-01	controller 1	action 2	539
2009-05-01	controller 1	action 2	598
2009-06-01	controller 1	action 2	767
2009-07-01	controller 1	action 2	893
2009-08-01	controller 1	action 2	1367
2009-09-01	controller 1	action 2	1651
2009-10-01	controller 1	action 2	1826
2009-11-01	controller 1	action 2	1912
2009-12-01	controller 1	action 2	2441
2008-01-01	controller 1	action 3	100
2008-02-01	controller 1	action 3	147
2008-03-01	controller 1	action 3	168
2008-04-01	controller 1	action 3	158
2008-05-01	controller 1	action 3	180
2008-06-01	controller 1	action 3	211
2008-07-01	controller 1	action 3	216
2008-08-01	controller 1	action 3	278
2008-09-01	controller 1	action 3	331
2008-10-01	controller 1	action 3	452
2008-11-01	controller 1	action 3	555
2008-12-01	controller 1	action 3	759
2009-01-01	controller 1	action 3	759
2009-02-01	controller 1	action 3	661
2009-03-01	controller 1	action 3	929
2009-04-01	controller 1	action 3	1351
2009-05-01	controller 1	action 3	1233
2009-06-01	controller 1	action 3	1486
2009-07-01	controller 1	action 3	1729
2009-08-01	controller 1	action 3	2271
2009-09-01	controller 1	action 3	2761
2009-10-01	controller 1	action 3	2743
2009-11-01	controller 1	action 3	3759
2009-12-01	controller 1	action 3	4626
2008-01-01	controller 1	action 4	100
2008-02-01	controller 1	action 4	128
2008-03-01	controller 1	action 4	157
2008-04-01	controller 1	action 4	178
2008-05-01	controller 1	action 4	194
2008-06-01	controller 1	action 4	165
2008-07-01	controller 1	action 4	204
2008-08-01	controller 1	action 4	320
2008-09-01	controller 1	action 4	351
2008-10-01	controller 1	action 4	272
2008-11-01	controller 1	action 4	272
2008-12-01	controller 1	action 4	289
2009-01-01	controller 1	action 4	303
2009-02-01	controller 1	action 4	370
2009-03-01	controller 1	action 4	593
2009-04-01	controller 1	action 4	551
2009-05-01	controller 1	action 4	695
2009-06-01	controller 1	action 4	731
2009-07-01	controller 1	action 4	790
2009-08-01	controller 1	action 4	794
2009-09-01	controller 1	action 4	839
2009-10-01	controller 1	action 4	777
2009-11-01	controller 1	action 4	968
2009-12-01	controller 1	action 4	1354
2008-01-01	controller 2	action 1	100
2008-02-01	controller 2	action 1	93
2008-03-01	controller 2	action 1	125
2008-04-01	controller 2	action 1	156
2008-05-01	controller 2	action 1	179
2008-06-01	controller 2	action 1	195
2008-07-01	controller 2	action 1	200
2008-08-01	controller 2	action 1	172
2008-09-01	controller 2	action 1	198
2008-10-01	controller 2	action 1	158
2008-11-01	controller 2	action 1	178
2008-12-01	controller 2	action 1	169
2009-01-01	controller 2	action 1	167
2009-02-01	controller 2	action 1	176
2009-03-01	controller 2	action 1	210
2009-04-01	controller 2	action 1	256
2009-05-01	controller 2	action 1	307
2009-06-01	controller 2	action 1	383
2009-07-01	controller 2	action 1	498
2009-08-01	controller 2	action 1	662
2009-09-01	controller 2	action 1	580
2009-10-01	controller 2	action 1	720
2009-11-01	controller 2	action 1	864
2009-12-01	controller 2	action 1	1027
2008-01-01	controller 2	action 2	100
2008-02-01	controller 2	action 2	88
2008-03-01	controller 2	action 2	129
2008-04-01	controller 2	action 2	113
2008-05-01	controller 2	action 2	134
2008-06-01	controller 2	action 2	159
2008-07-01	controller 2	action 2	190
2008-08-01	controller 2	action 2	206
2008-09-01	controller 2	action 2	273
2008-10-01	controller 2	action 2	265
2008-11-01	controller 2	action 2	221
2008-12-01	controller 2	action 2	294
2009-01-01	controller 2	action 2	300
2009-02-01	controller 2	action 2	319
2009-03-01	controller 2	action 2	398
2009-04-01	controller 2	action 2	402
2009-05-01	controller 2	action 2	458
2009-06-01	controller 2	action 2	434
